dataset,write_ratio,index_name,throughput_mops,latency_ns,time_ms,trial
osm_cellids,0.01,HOT,0.889522,1124.2,112.42,4
osm_cellids,0.01,ART,1.37878,725.28,72.528,4
osm_cellids,0.02,HRT-LI,0.766573,1304.51,130.451,4
osm_cellids,0.02,HRT-LI v3,0.422968,2364.24,236.424,4
osm_cellids,0.02,ALEX,10.1748,98.2823,9.82823,4
osm_cellids,0.02,Dynamic PGM,3.75636,266.215,26.6215,4
osm_cellids,0.02,HOT,1.11611,895.965,89.5965,4
osm_cellids,0.02,ART,1.08383,922.654,92.2654,4
osm_cellids,0.05,HRT-LI,0.880022,1136.34,113.634,4
osm_cellids,0.05,HRT-LI v3,0.418306,2390.6,239.06,4
osm_cellids,0.05,ALEX,10.2146,97.8989,9.78989,4
osm_cellids,0.05,Dynamic PGM,3.12502,319.998,31.9998,4
osm_cellids,0.05,HOT,1.11894,893.701,89.3701,4
osm_cellids,0.05,ART,1.43714,695.827,69.5827,4
osm_cellids,0.1,HRT-LI,0.788839,1267.69,126.769,4
osm_cellids,0.1,HRT-LI v3,0.496601,2013.69,201.369,4
osm_cellids,0.1,ALEX,9.49714,105.295,10.5295,4
osm_cellids,0.1,Dynamic PGM,3.03968,328.982,32.8982,4
osm_cellids,0.1,HOT,1.09544,912.872,91.2872,4
osm_cellids,0.1,ART,1.35694,736.955,73.6955,4
osm_cellids,0.25,HRT-LI,0.706126,1416.18,141.618,4
osm_cellids,0.25,HRT-LI v3,0.485223,2060.91,206.091,4
osm_cellids,0.25,ALEX,8.24403,121.3,12.13,4
osm_cellids,0.25,Dynamic PGM,4.08719,244.667,24.4667,4
osm_cellids,0.25,HOT,0.963965,1037.38,103.738,4
osm_cellids,0.25,ART,1.34691,742.441,74.2441,4
osm_cellids,0.5,HRT-LI,0.596918,1675.27,167.527,4
osm_cellids,0.5,HRT-LI v3,0.45129,2215.87,221.587,4
osm_cellids,0.5,ALEX,8.15748,122.587,12.2587,4
osm_cellids,0.5,Dynamic PGM,5.10616,195.842,19.5842,4
osm_cellids,0.5,HOT,1.33888,746.895,74.6895,4
osm_cellids,0.5,ART,1.53195,652.765,65.2765,4
osm_cellids,0.75,HRT-LI,0.496005,2016.11,201.611,4
